Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,867.0,18.0,81.0,867.0,0.1,55.206999999999994,0.0,0.0,78.89557671546936,,,,,,,,,,,,,,,,,,,,,21.640592157006754,16.942426016219766,53.56118083577315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,915.0,19.0,48.0,915.0,0.1,19.010000000000034,0.0,0.0,83.40056777000427,,,,,,,,,,,,,,,,,,,,,4.885165116805291,5.983044568319146,18.8131195002744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,948.0,20.0,33.0,948.0,0.1,14.806999999999993,0.0,0.0,86.73156499862671,,,,,,,,,,,,,,,,,,,,,4.269318763727899,4.963200684686619,14.695488762833886,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,49.0,1.0,49.0,997.0,0.1,22.50700000000003,0.0,0.0,185.87584495544434,,,,,,,,,,,,,,,,,,,,,6.416005482728412,7.217438017544752,22.237067629537755,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,83.0,2.0,34.0,1031.0,0.1,22.005000000000013,0.0,0.0,189.2001438140869,,,,,,,,,,,,,,,,,,,,,8.11979262562773,7.613053811659906,21.772450178635754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,128.0,3.0,45.0,1076.0,0.1,30.605000000000015,0.0,0.0,193.72620058059692,,,,,,,,,,,,,,,,,,,,,11.483160554646647,10.316929716926317,30.148524675867964,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,156.0,4.0,28.0,1104.0,0.1,11.206999999999994,0.0,0.0,196.56761240959167,,,,,,,,,,,,,,,,,,,,,3.0849386033188098,3.769173491484177,11.142896368948604,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,203.0,5.0,47.0,1151.0,0.1,23.107000000000024,0.0,0.0,201.00424218177795,,,,,,,,,,,,,,,,,,,,,6.994168932382609,7.490483602084147,22.82389903434768,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,248.0,6.0,45.0,1196.0,0.1,14.907999999999989,0.0,0.0,205.30018663406372,,,,,,,,,,,,,,,,,,,,,3.6493485914939545,4.4772285215567145,14.773311162396404,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,349.0,7.0,101.0,1297.0,0.1,38.80800000000005,0.0,0.0,214.38138818740845,,,,,,,,,,,,,,,,,,,,,13.266033112762004,9.610787742084051,37.54317947137431,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,386.0,8.0,37.0,1334.0,0.1,16.507000000000012,0.0,0.0,218.3118371963501,,,,,,,,,,,,,,,,,,,,,4.704773404994821,5.442732622208413,16.365638294966832,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,467.0,9.0,81.0,1415.0,0.1,43.108,0.0,0.0,225.65622901916504,,,,,,,,,,,,,,,,,,,,,16.44736657411075,13.151773498352917,41.859440328714136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,547.0,10.0,80.0,1495.0,0.1,41.807,0.0,0.0,232.9562451839447,,,,,,,,,,,,,,,,,,,,,15.425562691222456,12.72240985500851,40.6542227760315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,613.0,11.0,66.0,1561.0,0.1,34.907000000000004,0.0,0.0,239.1025469303131,,,,,,,,,,,,,,,,,,,,,12.309077998832786,11.345047200460286,34.16289247413283,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,653.0,12.0,40.0,1601.0,0.1,16.11000000000001,0.0,0.0,242.98318648338318,,,,,,,,,,,,,,,,,,,,,4.156674128147303,5.232040450711847,15.975668395997712,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,702.0,13.0,49.0,1650.0,0.1,25.010000000000026,0.0,0.0,247.8020875453949,,,,,,,,,,,,,,,,,,,,,7.419939605039187,8.301294272796808,24.695789843249734,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,753.0,14.0,51.0,1701.0,0.1,27.70700000000002,0.0,0.0,252.6208734512329,,,,,,,,,,,,,,,,,,,,,9.806848797019308,9.062174910623483,27.26134614229046,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,803.0,15.0,50.0,1751.0,0.1,23.709000000000028,0.0,0.0,257.3400146961212,,,,,,,,,,,,,,,,,,,,,6.8354447474642965,7.675889347837012,23.414032413421214,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
